code_postal,code_insee,nom_commune
02380,02616,Pont-Saint-Mard
02490,02614,Pontru
02160,02612,Pont-Arcy
02160,02613,Pontavert
02490,02615,Pontruet
02200,02610,Pommiers
02860,02609,Ployart-et-Vaurseine
02200,02607,Ploisy
02210,02606,Le Plessier-Huleu
02240,02605,Pleine-Selve
02140,02608,Plomion
02480,02604,Pithon
02320,02602,Pinon
02190,02601,Pignicourt
02300,02599,Pierremande
02350,02600,Pierrepont
02850,02595,Passy-sur-Marne
02200,02598,Pernant
02310,02596,Pavant
02470,02594,Passy-en-Valois
02200,02593,Pasly
02240,02592,Parpeville
02270,02591,Pargny-les-Bois
02160,02588,Pargnan
02330,02590,Pargny-la-Dhuys
02000,02589,Pargny-et-Filain
02840,02587,Parfondru
02360,02586,Parfondeval
02260,02584,Papleux
02160,02582,Paissy
02860,02583,Pancy-Courtecon
02210,02585,Parcy-et-Tigny
02220,02581,Paars
02210,02580,Oulchy-le-Château
02210,02579,Oulchy-la-Ville
02370,02577,Ostel
02160,02578,Oulches-la-Vallée-Foulon
02860,02573,Orgeval
02290,02576,Osly-Courtil
02390,02575,Origny-Sainte-Benoite
02550,02574,Origny-en-Thiérache
02190,02572,Orainville
02100,02571,Omissy
02480,02570,Ollezy
02450,02569,Oisy
02600,02568,Oigny-en-Valois
02500,02567,Ohis
02300,02566,Ognes
02120,02563,Noyales
02200,02564,Bernoy-le-Château
02160,02565,Œuilly
02290,02562,Nouvron-Vingré
02860,02561,Nouvion-le-Vineux
02600,02557,Noroy-sur-Ourcq
02270,02559,Nouvion-et-Catillon
02800,02560,Nouvion-le-Comte
02170,02558,Le Nouvion-en-Thiérache
02340,02556,Noircourt
02310,02555,Nogent-l'Artaud
02400,02554,Nogentel
02390,02552,Neuvillette
02150,02553,Nizy-le-Comte
02880,02551,Neuville-sur-Margival
02860,02550,Neuville-sur-Ailette
02100,02549,Neuville-Saint-Amand
02450,02548,La Neuville-lès-Dorengt
02250,02547,La Neuville-Housset
02300,02546,La Neuville-en-Beine
02250,02545,La Neuville-Bosmont
02500,02544,Neuve-Maison
02300,02542,Neuflieux
02470,02543,Neuilly-Saint-Front
02190,02541,Neufchâtel-sur-Aisne
02420,02539,Nauroy
02400,02540,Nesles-la-Montagne
02210,02538,Nanteuil-Notre-Dame
02880,02537,Nanteuil-la-Fosse
02140,02535,Nampcelles-la-Cour
02200,02536,Nampteuil-sous-Muret
02160,02534,Muscourt
02210,02533,Muret-et-Crouttes
02610,02532,Moÿ-de-l'Aisne
02160,02530,Moulins
02160,02531,Moussy-Verneuil
02270,02529,Mortiers
02360,02526,Morgny-en-Thiérache
02600,02528,Mortefontaine
02290,02527,Morsain
02100,02525,Morcourt
02400,02524,Mont-Saint-Père
02360,02522,Mont-Saint-Jean
02220,02523,Mont-Saint-Martin
02310,02521,Montreuil-aux-Lions
02220,02520,Mont-Notre-Dame
02340,02519,Montloué
02330,02518,Montlevon
02250,02516,Montigny-sous-Marle
02330,02515,Montigny-lès-Condé
02270,02517,Montigny-sur-Crécy
02290,02514,Montigny-Lengrain
02250,02513,Montigny-le-Franc
02810,02512,Montigny-l'Allier
02110,02511,Montigny-en-Arrouaise
02400,02509,Monthiers
02210,02507,Montgru-Saint-Hilaire
02330,02510,Monthurel
02860,02508,Monthenault
02600,02506,Montgobert
02540,02505,Montfaucon
02440,02504,Montescourt-Lizerolles
02390,02503,Mont-d'Origny
02340,02502,Montcornet
02860,02501,Montchâlons
02000,02499,Montbavin
02110,02500,Montbrehain
02820,02498,Montaigu
02000,02497,Mons-en-Laonnois
02470,02496,Monnes
02500,02495,Mondrepuis
02120,02494,Monceau-sur-Oise
02840,02493,Monceau-le-Waast
02270,02492,Monceau-lès-Leups
02270,02491,Monceau-le-Neuf-et-Faucouzy
02000,02490,Monampteuil
02110,02488,Molain
02000,02489,Molinchart
02880,02487,Missy-sur-Aisne
02350,02486,Missy-lès-Pierrepont
02200,02485,Missy-aux-Bois
02160,02482,Meurival
02650,02484,Mézy-Moulins
02240,02483,Mézières-sur-Oise
02720,02481,Mesnil-Saint-Laurent
02270,02480,Mesbrecourt-Richecourt
02000,02478,Merlieux-et-Fouquerolles
02630,02476,Mennevret
02700,02474,Mennessis
02200,02477,Mercin-et-Vaux
02800,02473,Mayot
02860,02471,Martigny-Courpierre
02500,02470,Martigny
02820,02472,Mauregny-en-Haye
02120,02469,Marly-Gomont
02250,02468,Marle
02470,02467,Marizy-Saint-Mard
02470,02466,Marizy-Sainte-Geneviève
02810,02465,Marigny-en-Orxois
02140,02463,Marfontaine
02880,02464,Margival
02130,02462,Mareuil-en-Dôle
02300,02461,Marest-Dampcourt
02250,02460,Marcy-sous-Marle
02720,02459,Marcy
02350,02457,Marchais
02540,02458,Dhuys et Morin-en-Brie
02330,02458,Dhuys et Morin-en-Brie
02300,02456,Manicamp
02120,02455,Malzy
02190,02454,La Malmaison
02420,02451,Magny-la-Fosse
02490,02452,Maissemy
